ProductID,Stock,Warehouse,ReorderLevel
P001,114,Nagpur,45
P002,65,Delhi,62
P003,69,Mumbai,23
P004,238,Pune,53
P005,40,Delhi,43
P006,142,Nagpur,30
P007,112,Nagpur,41
P008,135,Mumbai,34
P009,111,Pune,54
P010,200,Nagpur,42
P011,14,Nagpur,76
P012,81,Pune,20
P013,33,Mumbai,31
P014,247,Nagpur,53
P015,104,Mumbai,79
P016,88,Nagpur,71
P017,41,Pune,78
P018,191,Pune,40
P019,283,Nagpur,52
P020,166,Nagpur,38
P021,88,Pune,33
P022,128,Pune,67
P023,61,Mumbai,37
P024,181,Delhi,33
P025,19,Delhi,26
P026,100,Delhi,31
P027,258,Pune,62
P028,91,Delhi,36
P029,186,Mumbai,37
P030,185,Mumbai,55
P031,202,Delhi,17
P032,10,Pune,46
P033,60,Delhi,61
P034,230,Pune,21
P035,20,Delhi,59
P036,237,Delhi,26
P037,130,Nagpur,41
P038,87,Delhi,62
P039,95,Nagpur,76
P040,220,Mumbai,55
P041,25,Delhi,18
P042,222,Nagpur,28
P043,89,Pune,41
P044,206,Mumbai,14
P045,115,Nagpur,14
P046,208,Delhi,12
P047,261,Mumbai,12
P048,298,Delhi,80
P049,192,Mumbai,27
P050,68,Nagpur,48
