OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount,Sales,Profit,Month,Year,Quarter,ProfitMargin,AverageOrderValue
O001,2024-03-09,C002,P040,1,696,2739,1223,3,2024,1,44.651332603139835,2739.0
O002,2024-03-26,C015,P009,5,1482,15193,8403,3,2024,1,55.30836569472783,3038.6
O003,2024-05-02,C029,P025,3,1132,51965,9368,5,2024,2,18.02751852208217,17321.666666666668
O004,2024-02-24,C032,P020,2,1154,4252,1438,2,2024,1,33.819379115710255,2126.0
O005,2024-05-12,C029,P027,1,1316,53615,11859,5,2024,2,22.11881003450527,53615.0
O006,2024-04-04,C046,P005,4,830,6118,2414,4,2024,2,39.4573389996731,1529.5
O007,2024-03-03,C025,P042,3,735,8634,3237,3,2024,1,37.49131341209173,2878.0
O008,2024-06-12,C036,P002,3,514,74558,20006,6,2024,2,26.832801309047987,24852.666666666668
O009,2024-05-30,C039,P034,4,469,11795,4939,5,2024,2,41.873675286138194,2948.75
O010,2024-02-25,C014,P034,1,600,2466,752,2,2024,1,30.494728304947284,2466.0
O011,2024-01-26,C021,P021,2,296,5706,2704,1,2024,1,47.38871363477042,2853.0
O012,2024-02-10,C023,P012,1,1122,8000,1552,2,2024,1,19.400000000000002,8000.0
O013,2024-04-03,C034,P016,2,313,14441,4135,4,2024,2,28.63375112526833,7220.5
O014,2024-01-31,C001,P010,4,1463,7465,3493,1,2024,1,46.79169457468185,1866.25
O015,2024-01-16,C045,P048,4,934,57774,14586,1,2024,1,25.24665074254855,14443.5
O016,2024-04-12,C026,P001,5,183,5627,3577,4,2024,2,63.56850897458681,1125.4
O017,2024-02-12,C017,P011,4,1124,59904,14788,2,2024,1,24.68616452991453,14976.0
O018,2024-04-01,C034,P039,2,112,49282,12892,4,2024,2,26.159652611501155,24641.0
O019,2024-03-02,C008,P024,5,460,7815,3990,3,2024,1,51.0556621880998,1563.0
O020,2024-01-29,C003,P013,5,1318,10682,6742,1,2024,1,63.115521437932976,2136.4
O021,2024-05-16,C036,P042,3,805,8564,3167,5,2024,2,36.980382998598785,2854.6666666666665
O022,2024-01-18,C017,P046,5,1315,74480,17990,1,2024,1,24.154135338345863,14896.0
O023,2024-03-25,C023,P002,1,1322,23702,5518,3,2024,1,23.280735802885832,23702.0
O024,2024-01-07,C042,P011,4,244,60784,15668,1,2024,1,25.77652013687813,15196.0
O025,2024-01-29,C001,P036,5,549,15516,5496,1,2024,1,35.4215003866976,3103.2
O026,2024-01-19,C020,P043,3,1430,43222,10660,1,2024,1,24.66336587848781,14407.333333333334
O027,2024-03-06,C033,P031,5,130,4250,1430,3,2024,1,33.64705882352941,850.0
O028,2024-03-30,C041,P003,5,1021,86594,15189,3,2024,1,17.540476245467353,17318.8
O029,2024-02-15,C004,P003,1,564,16959,2678,2,2024,1,15.79102541423433,16959.0
O030,2024-01-22,C050,P027,5,394,274261,65481,1,2024,1,23.875432525951556,54852.2
O031,2024-01-28,C049,P003,4,431,69661,12537,1,2024,1,17.99715766354201,17415.25
O032,2024-03-21,C016,P008,4,387,3917,1045,3,2024,1,26.678580546336484,979.25
O033,2024-03-10,C004,P039,3,1183,72908,18323,3,2024,1,25.13167279310912,24302.666666666668
O034,2024-02-25,C002,P022,3,968,53557,12103,2,2024,1,22.598353156450138,17852.333333333332
O035,2024-03-20,C024,P038,5,60,16065,9295,3,2024,1,57.85869903516962,3213.0
O036,2024-05-04,C008,P035,4,1325,32939,6483,5,2024,2,19.681836121315158,8234.75
O037,2024-01-09,C041,P009,1,300,3035,1677,1,2024,1,55.25535420098847,3035.0
O038,2024-05-07,C046,P032,2,977,109927,25491,5,2024,2,23.189025444158396,54963.5
O039,2024-05-04,C027,P038,4,1201,11699,6283,5,2024,2,53.70544490982135,2924.75
O040,2024-02-17,C031,P014,5,246,273719,63864,2,2024,1,23.331957226206438,54743.8
O041,2024-05-20,C013,P003,2,898,34148,5586,5,2024,2,16.35820545859201,17074.0
O042,2024-05-05,C006,P046,3,733,44744,10850,5,2024,2,24.24906132665832,14914.666666666666
O043,2024-04-12,C041,P038,1,944,2281,927,4,2024,2,40.64007014467339,2281.0
O044,2024-05-04,C028,P017,3,115,46151,12482,5,2024,2,27.046001170072152,15383.666666666666
O045,2024-04-19,C001,P043,4,969,58567,15151,4,2024,2,25.86951696347773,14641.75
O046,2024-03-03,C026,P040,5,924,16251,8671,3,2024,1,53.35671650975324,3250.2
O047,2024-01-06,C045,P049,2,616,2180,1328,1,2024,1,60.91743119266055,1090.0
O048,2024-02-20,C034,P003,3,1492,51077,8234,2,2024,1,16.120758854278833,17025.666666666668
O049,2024-05-08,C038,P041,1,558,13961,2978,5,2024,2,21.330850225628538,13961.0
O050,2024-03-17,C037,P040,1,89,3346,1830,3,2024,1,54.692169754931264,3346.0
