CampaignID,CampaignName,Platform,Spend,Clicks,Conversions
M001,Campaign 1,Google,40906,4790,367
M002,Campaign 2,Facebook,57214,15070,139
M003,Campaign 3,Google,69929,23707,649
M004,Campaign 4,Email,19533,9466,921
M005,Campaign 5,Instagram,16595,9982,542
M006,Campaign 6,Facebook,59145,10084,1138
M007,Campaign 7,Instagram,24907,9395,259
M008,Campaign 8,Instagram,30273,24692,651
M009,Campaign 9,Instagram,64831,27364,946
M010,Campaign 10,Facebook,60321,13262,281
M011,Campaign 11,Facebook,76204,16257,586
M012,Campaign 12,Instagram,37863,18533,217
M013,Campaign 13,Google,15531,28346,595
M014,Campaign 14,Google,74073,12576,281
M015,Campaign 15,Instagram,15515,9946,708
M016,Campaign 16,Facebook,47180,28826,683
M017,Campaign 17,Facebook,15309,25182,1153
M018,Campaign 18,Email,44563,27706,1063
M019,Campaign 19,LinkedIn,42214,18888,770
M020,Campaign 20,LinkedIn,76609,26080,899
M021,Campaign 21,LinkedIn,78402,4889,191
M022,Campaign 22,Email,10199,7972,142
M023,Campaign 23,Google,76424,9727,832
M024,Campaign 24,Facebook,78377,21012,437
M025,Campaign 25,Google,46247,28556,539
M026,Campaign 26,Instagram,51807,22257,759
M027,Campaign 27,LinkedIn,78020,12791,145
M028,Campaign 28,LinkedIn,61553,29699,1141
M029,Campaign 29,Instagram,48057,21011,1060
M030,Campaign 30,Instagram,24358,18740,908
M031,Campaign 31,Google,18721,7242,147
M032,Campaign 32,Instagram,36703,13591,236
M033,Campaign 33,Email,70168,5807,544
M034,Campaign 34,Email,46235,16691,645
M035,Campaign 35,Email,39417,22087,863
M036,Campaign 36,Email,30837,18500,870
M037,Campaign 37,Instagram,33121,27048,1100
M038,Campaign 38,Google,75920,12290,625
M039,Campaign 39,LinkedIn,61714,5291,630
M040,Campaign 40,Facebook,15275,7662,591
M041,Campaign 41,LinkedIn,51007,4603,1124
M042,Campaign 42,Instagram,25174,8012,952
M043,Campaign 43,LinkedIn,63225,14886,913
M044,Campaign 44,Facebook,27267,13795,505
M045,Campaign 45,Facebook,78503,13576,491
M046,Campaign 46,Email,11388,15186,897
M047,Campaign 47,Instagram,51068,3404,480
M048,Campaign 48,Google,12310,25113,404
M049,Campaign 49,Instagram,74173,4384,616
M050,Campaign 50,Facebook,62596,21412,709
