OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount,Sales,Profit
O001,2024-03-09,C002,P040,1,696,2739,1223
O002,2024-03-26,C015,P009,5,1482,15193,8403
O003,2024-05-02,C029,P025,3,1132,51965,9368
O004,2024-02-24,C032,P020,2,1154,4252,1438
O005,2024-05-12,C029,P027,1,1316,53615,11859
O006,2024-04-04,C046,P005,4,830,6118,2414
O007,2024-03-03,C025,P042,3,735,8634,3237
O008,2024-06-12,C036,P002,3,514,74558,20006
O009,2024-05-30,C039,P034,4,469,11795,4939
O010,2024-02-25,C014,P034,1,600,2466,752
O011,2024-01-26,C021,P021,2,296,5706,2704
O012,2024-02-10,C023,P012,1,1122,8000,1552
O013,2024-04-03,C034,P016,2,313,14441,4135
O014,2024-01-31,C001,P010,4,1463,7465,3493
O015,2024-01-16,C045,P048,4,934,57774,14586
O016,2024-04-12,C026,P001,5,183,5627,3577
O017,2024-02-12,C017,P011,4,1124,59904,14788
O018,2024-04-01,C034,P039,2,112,49282,12892
O019,2024-03-02,C008,P024,5,460,7815,3990
O020,2024-01-29,C003,P013,5,1318,10682,6742
O021,2024-05-16,C036,P042,3,805,8564,3167
O022,2024-01-18,C017,P046,5,1315,74480,17990
O023,2024-03-25,C023,P002,1,1322,23702,5518
O024,2024-01-07,C042,P011,4,244,60784,15668
O025,2024-01-29,C001,P036,5,549,15516,5496
O026,2024-01-19,C020,P043,3,1430,43222,10660
O027,2024-03-06,C033,P031,5,130,4250,1430
O028,2024-03-30,C041,P003,5,1021,86594,15189
O029,2024-02-15,C004,P003,1,564,16959,2678
O030,2024-01-22,C050,P027,5,394,274261,65481
O031,2024-01-28,C049,P003,4,431,69661,12537
O032,2024-03-21,C016,P008,4,387,3917,1045
O033,2024-03-10,C004,P039,3,1183,72908,18323
O034,2024-02-25,C002,P022,3,968,53557,12103
O035,2024-03-20,C024,P038,5,60,16065,9295
O036,2024-05-04,C008,P035,4,1325,32939,6483
O037,2024-01-09,C041,P009,1,300,3035,1677
O038,2024-05-07,C046,P032,2,977,109927,25491
O039,2024-05-04,C027,P038,4,1201,11699,6283
O040,2024-02-17,C031,P014,5,246,273719,63864
O041,2024-05-20,C013,P003,2,898,34148,5586
O042,2024-05-05,C006,P046,3,733,44744,10850
O043,2024-04-12,C041,P038,1,944,2281,927
O044,2024-05-04,C028,P017,3,115,46151,12482
O045,2024-04-19,C001,P043,4,969,58567,15151
O046,2024-03-03,C026,P040,5,924,16251,8671
O047,2024-01-06,C045,P049,2,616,2180,1328
O048,2024-02-20,C034,P003,3,1492,51077,8234
O049,2024-05-08,C038,P041,1,558,13961,2978
O050,2024-03-17,C037,P040,1,89,3346,1830
