ProductID,ProductName,Category,Price,Cost
P001,Mouse 1,Accessories,1162,410
P002,Smartphone 2,Electronics,25024,18184
P003,Tablet 3,Electronics,17523,14281
P004,Monitor 4,Electronics,14540,10803
P005,Keyboard 5,Accessories,1737,926
P006,Tablet 6,Electronics,18429,14155
P007,Mouse 7,Accessories,1427,339
P008,Mouse 8,Accessories,1076,718
P009,Headphones 9,Accessories,3335,1358
P010,Keyboard 10,Accessories,2232,993
P011,Monitor 11,Electronics,15257,11279
P012,Printer 12,Office,9122,6448
P013,Keyboard 13,Accessories,2400,788
P014,Laptop 14,Electronics,54793,41971
P015,Keyboard 15,Accessories,1861,639
P016,Desk 16,Furniture,7377,5153
P017,Monitor 17,Electronics,15422,11223
P018,Keyboard 18,Accessories,2075,783
P019,Monitor 19,Electronics,15412,11289
P020,Headphones 20,Accessories,2703,1407
P021,Headphones 21,Accessories,3001,1501
P022,Tablet 22,Electronics,18175,13818
P023,Headphones 23,Accessories,2673,1414
P024,Mouse 24,Accessories,1655,765
P025,Tablet 25,Electronics,17699,14199
P026,Laptop 26,Electronics,55092,41776
P027,Laptop 27,Electronics,54931,41756
P028,Headphones 28,Accessories,3219,1602
P029,Chair 29,Furniture,3210,1716
P030,Desk 30,Furniture,6821,4793
P031,Mouse 31,Accessories,876,564
P032,Laptop 32,Electronics,55452,42218
P033,Mouse 33,Accessories,1042,523
P034,Chair 34,Furniture,3066,1714
P035,Printer 35,Office,8566,6614
P036,Chair 36,Furniture,3213,2004
P037,Desk 37,Furniture,7366,4839
P038,Headphones 38,Accessories,3225,1354
P039,Smartphone 39,Electronics,24697,18195
P040,Headphones 40,Accessories,3435,1516
P041,Monitor 41,Electronics,14519,10983
P042,Headphones 42,Accessories,3123,1799
P043,Monitor 43,Electronics,14884,10854
P044,Desk 44,Furniture,7415,5288
P045,Headphones 45,Accessories,2595,1675
P046,Monitor 46,Electronics,15159,11298
P047,Desk 47,Furniture,7167,5014
P048,Monitor 48,Electronics,14677,10797
P049,Mouse 49,Accessories,1398,426
P050,Chair 50,Furniture,3025,1615
